MAV> dump GPS
2026-03-06 03:29:45.799 GPS {TimeUS : 22999130, I : 0, Status : 6, GMS : 444603800, GWk : 2408, NSats : 0, HDop : 1.21, Lat : -35.3632621, Lng : 149.1652374, Alt : 584.09, Spd : 0.0, GCrs : 0.0, VZ : 0.0, Yaw : 0.0, U : 1}
2026-03-06 03:29:45.999 GPS {TimeUS : 23199050, I : 0, Status : 6, GMS : 444604000, GWk : 2408, NSats : 0, HDop : 1.21, Lat : -35.3632621, Lng : 149.1652374, Alt : 584.09, Spd : 0.0, GCrs : 0.0, VZ : 0.0, Yaw : 0.0, U : 1}
2026-03-06 03:29:46.200 GPS {TimeUS : 23399803, I : 0, Status : 6, GMS : 444604200, GWk : 2408, NSats : 0, HDop : 1.21, Lat : -35.3632621, Lng : 149.1652374, Alt : 584.09, Spd : 0.0, GCrs : 0.0, VZ : 0.0, Yaw : 0.0, U : 1}
2026-03-06 03:29:46.400 GPS {TimeUS : 23599723, I : 0, Status : 6, GMS : 444604400, GWk : 2408, NSats : 0, HDop : 1.21, Lat : -35.3632621, Lng : 149.1652374, Alt : 584.09, Spd : 0.0, GCrs : 0.0, VZ : 0.0, Yaw : 0.0, U : 1}
2026-03-06 03:29:46.600 GPS {TimeUS : 23799643, I : 0, Status : 6, GMS : 444604600, GWk : 2408, NSats : 0, HDop : 1.21, Lat : -35.3632621, Lng : 149.1652374, Alt : 584.09, Spd : 0.0, GCrs : 0.0, VZ : 0.0, Yaw : 0.0, U : 1}
2026-03-06 03:29:46.800 GPS {TimeUS : 23999563, I : 0, Status : 6, GMS : 444604800, GWk : 2408, NSats : 0, HDop : 1.21, Lat : -35.3632621, Lng : 149.1652374, Alt : 584.09, Spd : 0.0, GCrs : 0.0, VZ : 0.0, Yaw : 0.0, U : 1}
2026-03-06 03:29:47.000 GPS {TimeUS : 24199483, I : 0, Status : 6, GMS : 444605000, GWk : 2408, NSats : 0, HDop : 1.21, Lat : -35.3632621, Lng : 149.1652374, Alt : 584.09, Spd : 0.0, GCrs : 0.0, VZ : 0.0, Yaw : 0.0, U : 1}
2026-03-06 03:29:47.200 GPS {TimeUS : 24399403, I : 0, Status : 6, GMS : 444605200, GWk : 2408, NSats : 0, HDop : 1.21, Lat : -35.3632621, Lng : 149.1652374, Alt : 584.09, Spd : 0.0, GCrs : 0.0, VZ : 0.0, Yaw : 0.0, U : 1}
2026-03-06 03:29:47.399 GPS {TimeUS : 24599323, I : 0, Status : 6, GMS : 444605400, GWk : 2408, NSats : 0, HDop : 1.21, Lat : -35.3632621, Lng : 149.1652374, Alt : 584.09, Spd : 0.0, GCrs : 0.0, VZ : 0.0, Yaw : 0.0, U : 1}
2026-03-06 03:29:47.599 GPS {TimeUS : 24799243, I : 0, Status : 6, GMS : 444605600, GWk : 2408, NSats : 0, HDop : 1.21, Lat : -35.3632621, Lng : 149.1652374, Alt : 584.09, Spd : 0.0, GCrs : 0.0, VZ : 0.0, Yaw : 0.0, U : 1}
2026-03-06 03:29:47.799 GPS {TimeUS : 24999163, I : 0, Status : 6, GMS : 444605800, GWk : 2408, NSats : 0, HDop : 1.21, Lat : -35.3632621, Lng : 149.1652374, Alt : 584.09, Spd : 0.0, GCrs : 0.0, VZ : 0.0, Yaw : 0.0, U : 1}
